input,output
"Développeur Go | Informatique | Go, Gin, PostgreSQL, gRPC","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications microservices
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes QA et ops
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Go, Gin, PostgreSQL, gRPC
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : Event-Driven

👤 Profil recherché :
• Formation : Doctorat
• Expérience : Confirmé (3-5 ans)
• Compétences techniques : Maîtrise de Go, Gin
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Administrateur Système | Informatique | Kotlin, Ktor, PostgreSQL, Exposed","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications web modernes
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes QA et ops
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Kotlin, Ktor, PostgreSQL, Exposed
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : MVC

👤 Profil recherché :
• Formation : Bac+2
• Expérience : Expert (7+ ans)
• Compétences techniques : Maîtrise de Kotlin, Ktor
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Développeur PHP | Informatique | Java, Micronaut, MySQL, GraalVM","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications backend scalables
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes QA et ops
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Java, Micronaut, MySQL, GraalVM
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : Event-Driven

👤 Profil recherché :
• Formation : Bac+2
• Expérience : Junior (0-2 ans)
• Compétences techniques : Maîtrise de Java, Micronaut
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Développeur JavaScript | Informatique | Go, Microservices, Docker, Kubernetes","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications backend scalables
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes QA et ops
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Go, Microservices, Docker, Kubernetes
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : MVC

👤 Profil recherché :
• Formation : Bac+2
• Expérience : 5+ ans
• Compétences techniques : Maîtrise de Go, Microservices
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Développeur .NET | Informatique | Python, Django, PostgreSQL, Docker","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications microservices
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes product et design
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Python, Django, PostgreSQL, Docker
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : Clean Architecture

👤 Profil recherché :
• Formation : Bac+5
• Expérience : 10+ ans
• Compétences techniques : Maîtrise de Python, Django
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Architecte Solutions | Informatique | Java, Spring Boot, MySQL, Kubernetes","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications mobile natives
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes frontend et DevOps
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Java, Spring Boot, MySQL, Kubernetes
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : Hexagonale

👤 Profil recherché :
• Formation : BTS
• Expérience : 5+ ans
• Compétences techniques : Maîtrise de Java, Spring Boot
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Ingénieur Machine Learning | Informatique | PHP, Laravel, PostgreSQL, Nginx","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications mobile natives
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes frontend et DevOps
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : PHP, Laravel, PostgreSQL, Nginx
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : Event-Driven

👤 Profil recherché :
• Formation : Licence
• Expérience : 2-3 ans
• Compétences techniques : Maîtrise de PHP, Laravel
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Développeur PHP | Informatique | Swift, SwiftUI, CoreData, CloudKit","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications backend scalables
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes QA et ops
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Swift, SwiftUI, CoreData, CloudKit
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : Event-Driven

👤 Profil recherché :
• Formation : Bac+3
• Expérience : Expert (7+ ans)
• Compétences techniques : Maîtrise de Swift, SwiftUI
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Développeur Frontend | Informatique | Java, Micronaut, MySQL, GraalVM","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications web modernes
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes frontend et DevOps
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Java, Micronaut, MySQL, GraalVM
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : Hexagonale

👤 Profil recherché :
• Formation : Licence
• Expérience : Junior (0-2 ans)
• Compétences techniques : Maîtrise de Java, Micronaut
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Ingénieur Machine Learning | Informatique | Swift, SwiftUI, CoreData, CloudKit","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications mobile natives
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes QA et ops
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Swift, SwiftUI, CoreData, CloudKit
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : MVC

👤 Profil recherché :
• Formation : Licence
• Expérience : 1-2 ans
• Compétences techniques : Maîtrise de Swift, SwiftUI
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Développeur Go | Informatique | Python, Django, PostgreSQL, Docker","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications mobile natives
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes product et design
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Python, Django, PostgreSQL, Docker
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : Hexagonale

👤 Profil recherché :
• Formation : Licence
• Expérience : Expert (7+ ans)
• Compétences techniques : Maîtrise de Python, Django
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Chef de Projet IT | Informatique | Java, Quarkus, PostgreSQL, OpenShift","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications cloud
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes product et design
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : Java, Quarkus, PostgreSQL, OpenShift
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : MVC

👤 Profil recherché :
• Formation : Bac+3
• Expérience : Junior (0-2 ans)
• Compétences techniques : Maîtrise de Java, Quarkus
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Ingénieur Big Data | Informatique | JavaScript, Vue.js, Express, PostgreSQL","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications mobile natives
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes product et design
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : JavaScript, Vue.js, Express, PostgreSQL
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : MVC

👤 Profil recherché :
• Formation : Bac+4
• Expérience : 2-3 ans
• Compétences techniques : Maîtrise de JavaScript, Vue.js
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
"Chef de Projet IT | Informatique | TypeScript, React, GraphQL, Apollo","Rejoignez notre équipe technique pour développer des solutions innovantes et performantes.

🎯 Missions principales :
• Concevoir et développer des applications cloud
• Participer aux choix architecturaux et techniques
• Collaborer avec les équipes product et design
• Optimiser les performances et la scalabilité
• Maintenir la qualité du code avec des tests automatisés
• Participer aux code reviews et au mentorat
• Assurer une veille technologique active

💻 Environnement technique :
Technologies : TypeScript, React, GraphQL, Apollo
Méthodologie : Agile/Scrum, CI/CD
Outils : Git, Docker, Jenkins
Architecture : MVC

👤 Profil recherché :
• Formation : Bac+3
• Expérience : 10+ ans
• Compétences techniques : Maîtrise de TypeScript, React
• Connaissance des design patterns et bonnes pratiques
• Qualités : Autonomie, esprit d'équipe, curiosité technique, rigueur"
